name,count
Gustavo Lopez,1
Roman Dolidze,1
Grant Dawson,2
Max Griffin,7
Kevin Holland,2
Ryan Spann,3
Belal Muhammad,7
Darren Stewart,7
Davey Grant,3
Gavin Tucker,1
Jason Witt,2
Ray Rodriguez,1
Casey Kenney,4
Kyler Phillips,1
Aljamain Sterling,6
Israel Adesanya,5
Aleksandar Rakic,6
Askar Askarov,3
Drew Dober,9
Jordan Espinosa,1
Kai Kara-France,2
Jake Matthews,3
Trevin Jones,1
Ciryl Gane,2
Thiago Moises,4
Jimmie Rivera,4
Kevin Croom,1
Magomed Ankalaev,2
Maxim Grishin,2
Chris Daukaus,1
Darrick Minner,1
Nassourdine Imavov,1
Derrick Lewis,6
John Castaneda,1
Tom Aspinall,1
Danny Chavez,1
Julian Erosa,3
Dhiego Lima,5
Julian Marquez,2
Gilbert Burns,7
Brian Kelleher,6
Ian Heinisch,3
Anthony Hernandez,1
Chris Gutierrez,2
Justin Jaynes,2
Clay Guida,11
Alexander Volkov,3
Beneil Dariush,8
Frankie Edgar,8
Danilo Marques,1
Jerome Rivera,1
Youssef Zalal,2
Martin Day,1
Makhmud Muradov,1
Conor McGregor,7
Antonio Carlos Junior,4
Matt Frevola,2
Zhalgas Zhumagulov,1
Marcin Prachnio,2
Movsar Evloev,2
Tom Breese,5
Mounir Lazzez,1
Tyson Nam,2
Vinicius Moreira,2
Neil Magny,9
Douglas Silva de Andrade,3
Zarrukh Adashev,1
Markus Perez,2
Dusko Todorovic,1
Justin Tafa,2
Matt Brown,9
Ramazan Emeev,2
Alessio Di Chirico,4
Li Jingliang,5
Calvin Kattar,5
Austin Lingo,1
Rob Font,5
Antonio Arroyo,1
Geoff Neal,2
Marlon Vera,8
Alex Morono,7
Greg Hardy,3
Khaos Williams,2
Carlton Minus,1
Rafael Fiziev,3
Jacare Souza,4
Charles Oliveira,18
Brandon Moreno,4
Billy Quarantillo,1
Daniel Pineda,7
Peter Barrett,1
John Allan,1
Damon Jackson,3
Jose Quinonez,4
Jake Collier,3
Jamahal Hill,1
Marvin Vettori,5
Kai Kamaka,1
Takashi Sato,2
Devin Clark,6
Bill Algeo,1
Anderson Dos Santos,2
Nate Maness,1
Malcolm Gordon,1
Brandon Royval,2
Jordan Wright,1
Alex Perez,5
Paul Craig,6
Tim Means,11
Nicolas Dalby,2
Sean Strickland,9
Tony Gravely,1
Rhys McKee,1
Rafael Dos Anjos,13
Roque Martinez,1
Glover Teixeira,6
Tanner Boser,3
Marcos Rogerio de Lima,5
Eduardo Garagorri,2
Khalid Taha,1
Bevon Lewis,1
Anthony Birchak,3
Alexander Hernandez,1
Jack Marshman,4
Anderson Silva,5
Andre Fili,10
Justin Ledet,2
Walt Harris,8
Ion Cutelaba,4
Tai Tuivasa,3
Jared Cannonier,5
Justin Gaethje,6
Alexander Yakovlev,6
Sam Alvey,11
Jonathan Martinez,5
Modestas Bukauskas,1
John Phillips,4
James Krause,7
Chan Sung Jung,6
Fares Ziam,1
Cory Sandhagen,4
Rodrigo Nascimento,1
Marcin Tybura,5
Makwan Amirkhani,5
Joaquin Buckley,1
Omar Morales,2
Tony Kelley,1
Court McGee,2
Josh Culibao,1
Carlos Felipe,1
Heili Alateng,1
Jessin Ayari,3
Paulo Costa,4
Alex Da Silva,1
Jan Blachowicz,8
Zubaira Tukhugov,3
Tyron Woodley,6
David Dvorak,1
Gerald Meerschaert,7
Niko Price,9
Randy Costa,1
Irwin Rivera,1
Alan Patrick,4
Kyle Nelson,2
Mike Rodriguez,4
Khama Worthy,2
Jalin Turner,1
Anthony Ivy,1
Alonzo Menifield,1
Zelim Imadaev,1
Bartosz Fabinski,4
Hunter Azure,1
Augusto Sakai,4
Zak Cummings,6
Christian Aguilera,1
Dwight Grant,2
Joe Solecki,1
Jairzinho Rozenstruik,5
Merab Dvalishvili,3
Daniel Cormier,4
Vinc Pichel,5
Laureano Staropoli,3
Aleksei Oleinik,5
Scott Holtzman,3
Chris Weidman,6
Wellington Turman,2
Randy Brown,4
Edmen Shahbazyan,2
Bobby Green,7
Peter Sobotta,5
Darren Till,6
Rogerio Nogueira,9
Gadzhimurad Antigulov,2
Jesse Ronson,2
Raphael Pessoa,1
Mike Grundy,1
Joel Alvarez,1
Kelvin Gastelum,10
Nad Narimani,1
Joseph Benavidez,3
Montel Jackson,2
Arman Tsarukyan,2
Lerone Murphy,1
Cody Stamann,4
Dan Ige,4
Ryan Benoit,5
Aaron Phillips,1
Chris Fishgold,3
Danny Henry,1
Muslim Salikhov,2
Jose Aldo,3
Max Holloway,8
Jorge Masvidal,10
Maurice Greene,2
Mickey Gall,4
Dan Hooker,9
Roosevelt Roberts,2
Oskar Piechota,2
Lyman Good,2
Shane Burgos,3
Charles Jourdain,2
Mark De La Rosa,3
Kevin Aguilar,3
Sean O'Malley,1
Chase Hooper,1
Cody Garbrandt,4
Anthony Rocco Martin,8
Maki Pitolo,1
Herbert Burns,1
Klidson Abreu,2
Brok Weaver,1
Spike Carlyle,1
Vince Morales,3
Edson Barboza,7
Krzysztof Jotko,7
Miguel Baeza,1
Nate Landwehr,1
Ovince Saint Preux,7
Donald Cerrone,11
Fabricio Werdum,4
Dominick Cruz,2
Yorgan De Castro,1
Charles Rosa,3
Damir Hadzovic,4
Aleksei Kunchenko,3
Nikita Krylov,8
John Makdessi,3
Enrique Barzola,2
Drakkar Klose,6
Yoel Romero,8
Saparbeg Safarov,2
Austin Hubbard,2
Guido Cannetti,4
Deron Winn,1
Serghei Spivac,2
Deiveson Figueiredo,4
Ismail Naurdiev,2
Michal Oleksiejczuk,3
Magomed Mustafaev,3
Emil Meek,2
Song Kenan,1
Ray Borg,4
Michel Pereira,1
Nathaniel Wood,1
Dequan Townsend,2
Raulian Paiva,2
Ilir Latifi,6
Dominick Reyes,5
Journey Newson,1
Mario Bautista,1
Junior Dos Santos,9
Michael Chiesa,7
Felipe Colares,1
Nik Lentz,14
Diego Ferreira,7
Sodiq Yusuff,2
Nasrat Haqparast,3
Suman Mokhtarian,1
Pingyuan Liu,1
Matt Schnell,4
Marc-Andre Barriault,1
Said Nurmagomedov,2
Mike Perry,9
Omari Akhmedov,8
Alexander Volkanovski,4
Urijah Faber,4
Colby Covington,7
Ben Saunders,10
Ricky Simon,3
Song Yadong,3
Ben Rothwell,7
Matt Sayles,2
Trevor Smith,6
Jared Gordon,2
Renan Barao,4
Danny Roberts,2
Sergey Khandozhko,1
Ed Herman,9
Dalcha Lungiambula,1
Gregor Gillespie,2
Vicente Luque,2
Nate Diaz,10
Johnny Walker,2
Blagoy Ivanov,2
Hakeem Dawodu,1
Chance Rencountre,2
Stevie Ray,4
Ben Askren,2
Sergei Pavlovich,1
Jeff Hughes,2
Manny Bermudez,3
Jeremy Stephens,18
Boston Salmon,1
Thomas Gifford,1
Kron Gracie,1
Luis Pena,3
James Vick,6
Tim Elliott,7
Andre Ewell,2
Andrew Sanchez,2
Rostem Akman,1
Khalil Rountree Jr.,4
Alex Oliveira,6
Lando Vannata,3
Steven Peterson,4
Carlos Huachin,1
Marcos Mariano,1
Jimmy Crute,1
Ryan MacDonald,1
Jordan Griffin,1
Shamil Abdurakhimov,6
Davi Ramos,2
Dustin Poirier,7
Paul Felder,9
Elizeu Zaleski dos Santos,3
Andre Soukhamthath,5
Derrick Krantz,1
Stipe Miocic,5
Brandon Davis,3
Bobby Moffett,2
Dong Hyun Ma,5
Kennedy Nzechukwu,1
Robbie Lawler,7
Salim Touahri,2
SeungWoo Choi,1
Kyle Stewart,1
Leon Edwards,4
Francisco Trinaldo,6
Juan Adams,2
Jin Soo Son,1
Sheymon Moraes,3
Cezar Ferreira,5
Mirsad Bektic,3
Ryan Hall,3
Thiago Santos,9
Arnold Allen,1
Luke Rockhold,4
Marco Polo Reyes,3
Junior Albini,2
Dan Moret,2
Pedro Munhoz,4
Petr Yan,3
Marlon Moraes,4
Leonardo Santos,1
Christos Giagos,4
Anthony Smith,9
Frank Camacho,4
Kevin Lee,11
Trevin Giles,2
Kurt Holobaugh,2
Sergio Moraes,4
Elias Theodorou,2
Dmitrii Smoliakov,1
Jack Hermansson,7
Jason Gonzalez,2
Marcelo Golm,3
Keita Nakamura,6
Alexandre Pantoja,3
Desmond Green,4
Michael Johnson,9
Anthony Pettis,6
Frankie Saenz,3
Justin Willis,2
Joe Duffy,3
Jordan Rinaldi,3
Claudio Silva,1
Gunnar Nelson,4
Curtis Millender,1
Zak Ottow,6
Zabit Magomedsharipov,1
Kamaru Usman,4
Alejandro Perez,3
Charles Byrd,1
Carlo Pedersoli Jr.,2
Myles Jury,7
Cain Velasquez,3
Bryan Barberena,6
Luke Sanders,3
Austin Arnett,3
Kyung Ho Kang,4
David Teymur,3
Renato Moicano,4
TJ Dillashaw,4
Yancy Medeiros,10
Karl Roberson,2
Dustin Ortiz,6
Te Edwards,1
Alexander Gustafsson,7
Corey Anderson,7
Siyar Bahadurzada,4
Al Iaquinta,6
Sergio Pettis,7
Joaquim Silva,3
Kyle Bochniak,3
Eryk Anders,3
Matthew Lopez,4
Brian Ortega,5
Ben Nguyen,4
Tyson Pedro,3
Bryan Caraway,6
Ricky Rainey,1
Rashad Coulter,1
David Zawada,1
Francis Ngannou,4
Yuta Sasaki,7
Santiago Ponzinibbio,4
Darren Elkins,8
Yair Rodriguez,2
Eric Shelton,2
John Gunther,1
Joby Sanchez,2
Patrick Cummins,8
Artem Lobov,2
Jussier Formiga,2
Evan Dunham,12
Hector Lombard,7
Kajan Johnson,4
Terrion Ware,2
John Dodson,4
Alex White,6
Craig White,1
Jarred Brooks,2
Iuri Alcantara,4
Tim Williams,1
Warlley Alves,1
George Sullivan,3
Jon Tuck,4
Brett Johns,3
Henry Cejudo,5
Wuliji Buren,1
Jose Torres,1
Islam Makhachev,4
Matheus Nicolau,3
Alvaro Herrera Mendoza,2
Ross Pearson,6
Marc Diakiese,3
Stefan Struve,6
Chad Mendes,4
Rick Glenn,3
Martin Bravo,1
Daichi Abe,2
Shane Young,1
Naoki Inoue,1
Curtis Blaydes,5
Chris de la Rocha,1
Daniel Spitz,2
Daniel Teymur,1
Gleison Tibau,11
Mads Burnell,1
Nordine Taleb,3
Chad Laprise,2
Humberto Bandenay,1
Felipe Silva,2
Nick Hein,2
Lyoto Machida,5
Sultan Aliev,2
James Bochnovic,1
Chase Sherman,3
Cub Swanson,3
Alex Garcia,6
Luan Chagas,2
John Moraga,5
Brad Tavares,6
Yushin Okami,7
