name,count
Adrian Yanez,1
Trevin Giles,4
Leonardo Santos,6
Song Kenan,3
Derek Brunson,9
Misha Cirkunov,4
Leon Edwards,8
Eryk Anders,6
Jonathan Martinez,1
Dan Ige,3
Matthew Semelsberger,1
Rani Yahya,9
Dominick Cruz,5
Song Yadong,2
Petr Yan,3
Jan Blachowicz,7
Thiago Santos,9
Joseph Benavidez,16
Islam Makhachev,3
Tim Elliott,5
Rogerio Bontorin,3
Sean Brady,3
Mario Bautista,2
Jairzinho Rozenstruik,1
Alexander Hernandez,4
Pedro Munhoz,9
Alex Caceres,9
Nikita Krylov,5
Dustin Jacoby,2
Aleksei Oleinik,8
Charles Rosa,3
Phil Hawes,1
Curtis Blaydes,5
Eddie Wineland,8
Andrei Arlovski,17
Jared Gordon,5
Nate Landwehr,1
Belal Muhammad,4
Maki Pitolo,2
Kamaru Usman,8
Ricky Simon,1
Kelvin Gastelum,6
Rodolfo Vieira,2
Andre Ewell,4
Devonte Smith,2
Michael Johnson,12
Alistair Overeem,13
Diego Ferreira,2
Cory Sandhagen,2
Mike Rodriguez,1
Ode Osbourne,1
SeungWoo Choi,2
Timur Valiev,1
Andrew Sanchez,5
Dustin Poirier,15
Brad Tavares,11
Arman Tsarukyan,1
Amir Albazi,1
Khalil Rountree Jr.,2
Nik Lentz,7
Omari Akhmedov,3
Warlley Alves,9
Matt Schnell,3
Ike Villanueva,1
Michael Chiesa,7
Lerone Murphy,1
Su Mudaerji,3
Dalcha Lungiambula,1
Punahele Soriano,1
Carlos Felipe,1
Carlos Condit,11
David Zawada,1
Joaquin Buckley,2
Santiago Ponzinibbio,5
Max Holloway,11
Jacob Kilburn,1
Marlon Moraes,4
Deron Winn,2
Stephen Thompson,5
Jose Aldo,13
Anthony Pettis,12
Marcin Tybura,6
Michel Pereira,2
Christos Giagos,2
Renato Moicano,5
Kevin Holland,5
Tony Ferguson,13
Deiveson Figueiredo,6
Junior Dos Santos,10
Gavin Tucker,4
Cub Swanson,15
Chase Hooper,1
Roman Dolidze,1
Ilia Topuria,1
Louis Smolka,8
Gian Villante,9
Ovince Saint Preux,14
Jack Hermansson,4
Jonathan Pearce,1
Miguel Baeza,1
Anthony Smith,4
Spike Carlyle,1
Martin Day,2
Luke Sanders,3
Brandon Moreno,4
Mauricio Rua,19
Mike Perry,3
Daniel Rodriguez,2
Brendan Allen,2
Geraldo de Freitas,2
Alex Morono,3
Abdul Razak Alhassan,3
Paul Felder,4
Don'Tale Mayes,1
Alexandr Romanov,1
Darren Elkins,13
Raoni Barcelos,2
Gustavo Lopez,1
Chris Gruetzemacher,2
Maurice Greene,3
Sean Strickland,2
Bobby Green,7
Uriah Hall,8
Bryce Mitchell,4
Cole Williams,1
Alexander Volkov,4
Magomed Ankalaev,3
Stefan Struve,14
Robert Whittaker,9
Khabib Nurmagomedov,7
Nathaniel Wood,3
Joel Alvarez,1
Da-Un Jung,2
Thomas Almeida,5
Jimmy Crute,3
Junyong Park,2
Claudio Silva,2
Brian Ortega,3
Gadzhimurad Antigulov,3
Jamie Mullarkey,1
Chris Daukaus,1
Ben Rothwell,7
Edson Barboza,14
Impa Kasanganay,1
Giga Chikadze,1
Ali AlQaisi,1
Charles Jourdain,1
Yorgan De Castro,1
Casey Kenney,2
Luigi Vendramini,1
Israel Adesanya,4
Kai Kara-France,3
Diego Sanchez,20
Brad Riddell,2
Dominick Reyes,2
Hakeem Dawodu,3
Johnny Walker,3
Mirsad Bektic,5
Colby Covington,2
Jordan Espinosa,4
Khamzat Chimaev,1
Donald Cerrone,21
Journey Newson,1
Billy Quarantillo,2
Ed Herman,11
Ottman Azaitar,1
Brok Weaver,1
Bryan Barberena,4
Andre Muniz,1
Cole Smith,1
