B_fighter,B_Stance,weight_class,B_avg_KD,B_avg_opp_KD,B_avg_SIG_STR_pct,B_avg_opp_SIG_STR_pct,B_avg_TD_pct,B_avg_opp_TD_pct,B_avg_SUB_ATT,B_avg_opp_SUB_ATT,B_avg_REV,B_avg_opp_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_TD_att,B_avg_TD_landed,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_BODY_att,B_avg_BODY_landed,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_LEG_att,B_avg_LEG_landed,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_age,B_index_ape2,count_weight_class
Aaron Phillips,Southpaw,Bantamweight,0.0,0.0,0.575,0.585,0.0,0.64,0.5,0.5,0.5,0.5,47.0,28.0,84.0,50.0,208.0,169.5,150.5,107.5,0.5,0.0,8.5,5.5,31.0,14.0,69.0,39.5,13.0,12.0,12.0,8.0,3.0,2.0,3.0,2.5,25.5,11.5,23.0,9.0,12.0,10.0,17.0,12.5,9.5,6.5,44.0,28.5,34.0,692.0,900.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.26,180.34,135.0,30.0,5.08,1
Aaron Riley,Southpaw,Lightweight,0.0,0.21354166666666666,0.40401041666666665,0.3794270833333333,0.4184375,0.22005208333333334,0.109375,0.0,0.0,0.0,115.06770833333333,48.1875,112.04166666666667,42.484375,166.375,95.875,134.53125,64.22395833333333,3.5260416666666665,1.3541666666666667,3.125,1.0416666666666667,84.86458333333333,25.135416666666668,90.54166666666667,26.796875,16.744791666666668,13.270833333333334,16.307291666666668,13.442708333333334,13.458333333333334,9.78125,5.192708333333333,2.2447916666666665,84.53125,27.510416666666668,88.33333333333333,28.770833333333332,24.427083333333332,16.234375,21.21875,12.416666666666666,6.109375,4.442708333333333,2.4895833333333335,1.296875,201.58854166666666,42.796875,718.375,11.333333333333334,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,172.72,175.26,155.0,28.666666666666668,2.54,3
Aaron Riley,Southpaw,Welterweight,0.0,1.0,0.42,0.41,0.0,0.75,1.0,0.0,0.0,0.0,130.0,55.0,153.0,64.0,170.0,93.0,176.0,87.0,3.0,0.0,8.0,6.0,83.0,18.0,137.0,52.0,20.0,18.0,11.0,9.0,27.0,19.0,5.0,3.0,83.0,31.0,94.0,34.0,47.0,24.0,41.0,21.0,0.0,0.0,18.0,9.0,86.0,269.0,900.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.72,175.26,155.0,25.0,2.54,1
Aaron Rosa,Orthodox,LightHeavyweight,0.0,0.0,0.495,0.47,0.0,0.175,0.0,0.0,0.0,0.0,139.0,66.0,113.5,53.5,284.5,195.5,189.5,116.5,0.5,0.0,7.0,1.0,110.5,40.5,92.5,36.0,23.5,21.0,9.5,8.0,5.0,4.5,11.5,9.5,107.5,40.0,94.0,36.5,31.5,26.0,15.5,13.0,0.0,0.0,4.0,4.0,30.0,366.0,793.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,193.04,195.58,205.0,28.0,2.54,1
Aaron Simpson,Orthodox,Middleweight,0.22916666666666666,0.0,0.4892708333333333,0.475625,0.505625,0.09916666666666667,0.125,0.4583333333333333,0.0,0.25,85.32291666666667,38.90625,86.45833333333333,39.416666666666664,120.875,69.35416666666667,104.95833333333333,56.833333333333336,10.166666666666666,4.083333333333333,2.7083333333333335,0.4791666666666667,61.697916666666664,19.458333333333332,69.07291666666667,25.770833333333332,13.5625,9.614583333333334,7.84375,6.354166666666667,10.0625,9.833333333333334,9.541666666666666,7.291666666666667,47.489583333333336,14.09375,47.489583333333336,15.875,25.302083333333332,16.927083333333332,36.875,21.927083333333332,12.53125,7.885416666666667,2.09375,1.6145833333333333,293.625,97.22916666666667,698.65625,10.333333333333334,0.0,3.0,0.0,3.0,3.3333333333333335,1.3333333333333333,0.0,0.0,1.0,0.3333333333333333,2.0,0.0,0.0,182.88,185.42,170.0,35.666666666666664,2.54,3
Abdul Razak Alhassan,Orthodox,Welterweight,1.375,0.0,0.47375,0.33875,0.0825,0.2475,0.0,0.0,0.375,0.0,60.625,27.375,77.625,30.0,64.0,29.5,101.0,48.125,0.75,0.25,3.875,2.25,55.0,23.875,68.25,22.25,2.375,1.625,6.875,5.25,3.25,1.875,2.5,2.5,52.125,21.0,60.375,18.625,7.0,5.25,7.75,5.625,1.5,1.125,9.5,5.75,37.25,130.25,422.625,4.5,0.0,1.0,0.0,1.0,1.5,1.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,177.8,185.42,170.0,32.0,7.62,2
Abel Trujillo,Orthodox,Lightweight,0.5029296875,0.0,0.48701822916666665,0.4365852865,0.6963411458333333,0.3782845051666666,0.5944010416666666,0.9791666666666666,0.0,0.0,66.70019531333334,33.756510416666664,47.321614583333336,19.164713541666668,83.53255208333333,48.914713541666664,59.64160156333333,28.739257813333335,2.7721354166666665,1.6015625,7.224934895833333,3.6871744791666665,50.96777343833333,20.035807291666668,37.99707031333333,12.780924480000001,12.832356770833334,10.820638020833334,3.7379557291666665,2.68359375,2.9000651041666665,2.9000651041666665,5.586588541666667,3.7001953125,36.62076823,10.075195313333333,34.333658855,11.435221355000001,15.8076171875,11.685546875,8.935546875,5.133463541666667,14.271809895833334,11.995768229166666,4.052408854166667,2.5960286458333335,124.359375,215.3030599,567.8339843833334,10.166666666666666,0.0,1.0,0.0,1.6666666666666667,2.6666666666666665,2.0,0.0,0.0,0.0,0.16666666666666666,2.1666666666666665,0.16666666666666666,0.0,172.72,177.80000000000004,155.0,30.833333333333332,5.08,6
Adam Milstead,Orthodox,LightHeavyweight,0.0,0.0,0.75,0.57,0.0,0.4,0.0,0.0,0.0,0.0,58.5,29.5,65.5,32.0,62.0,32.0,99.0,57.5,0.0,0.0,8.5,4.0,54.0,26.5,50.0,17.5,4.0,2.5,6.0,5.0,0.5,0.5,9.5,9.5,50.5,24.0,48.0,17.0,7.0,4.5,4.0,3.5,1.0,1.0,13.5,11.5,10.0,241.5,450.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,190.5,193.04,205.0,30.0,2.54,1
Adam Wieczorek,Orthodox,Heavyweight,0.0,0.0,0.44,0.56,0.0,0.22,0.0,0.0,0.0,0.0,95.0,42.0,57.0,32.0,129.0,73.0,75.0,44.0,1.0,0.0,9.0,2.0,74.0,23.0,28.0,6.0,16.0,15.0,22.0,21.0,5.0,4.0,7.0,5.0,77.0,26.0,36.0,11.0,11.0,11.0,6.0,6.0,7.0,5.0,15.0,15.0,131.0,419.0,900.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,195.58,205.74,250.0,26.0,10.16,1
Adlan Amagov,Orthodox,Welterweight,0.0,0.0,0.38,0.08,0.6,0.0,0.0,0.0,0.0,0.0,99.0,38.0,57.0,5.0,118.0,57.0,76.0,24.0,10.0,6.0,0.0,0.0,53.0,12.0,44.0,1.0,9.0,5.0,4.0,1.0,37.0,21.0,9.0,3.0,77.0,26.0,53.0,4.0,16.0,10.0,4.0,1.0,6.0,2.0,0.0,0.0,269.0,0.0,900.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,187.96,193.04,170.0,26.0,5.08,1
