FighterId,Fighter Name,age,FirstName,LastName,Nickname,WeightClass,BirthDate,Height,Weight,Reach,Wins,Losses,Draws,NoContests,TechnicalKnockouts,TechnicalKnockoutLosses,Submissions,SubmissionLosses,TitleWins,TitleLosses,TitleDraws,CareerStats.SigStrikesLandedPerMinute,CareerStats.SigStrikeAccuracy,CareerStats.TakedownAverage,CareerStats.SubmissionAverage,CareerStats.KnockoutPercentage,CareerStats.TechnicalKnockoutPercentage,CareerStats.DecisionPercentage
140000001,Chance Rencountre,34.0,Chance,Rencountre,Black Eagle,Welterweight,1986-12-31,74.0,170.0,75.0,14.0,4.0,0.0,0.0,14.0,2.0,7.0,0.0,0.0,0.0,0.0,2.6,31.7,3.2,0.8,0.0,0.0,13.3
140000002,Kyle Stewart,32.0,Kyle,Stewart,Gunz Up,Welterweight,1989-01-31,72.0,170.0,76.5,13.0,3.0,0.0,0.0,14.0,0.0,7.0,2.0,0.0,2.0,0.0,3.4,54.3,3.1,0.0,0.0,0.0,0.0
140000003,Geoff Neal,30.0,Geoff,Neal,Handz of Steel,Welterweight,1990-08-28,71.0,171.0,75.0,13.0,4.0,0.0,0.0,12.0,2.0,5.0,2.0,0.0,0.0,0.0,10.5,80.4,1.4,0.5,36.3,36.3,14.0
140000004,Belal Muhammad,33.0,Belal,Muhammad,Remember the Name,Welterweight,1988-07-09,71.0,170.0,72.0,19.0,3.0,0.0,1.0,10.0,2.0,2.0,0.0,2.0,0.0,0.0,11.0,77.4,4.3,0.4,10.4,10.4,53.7
140000005,Dennis Bermudez,34.0,Dennis,Bermudez,The Menace,Featherweight,1986-12-13,66.0,155.0,66.0,17.0,9.0,0.0,0.0,10.0,5.0,7.0,10.0,0.0,0.0,0.0,10.6,70.8,9.1,2.4,8.8,8.8,40.0
140000006,Te Edwards,30.0,Te,Edwards,Tango,Lightweight,1990-09-11,68.0,155.0,72.0,6.0,3.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,3.6,64.7,1.7,0.0,0.0,0.0,0.0
140000009,Alonzo Menifield,33.0,Alonzo,Menifield,Atomic,Light Heavyweight,1987-10-18,72.0,204.0,76.0,11.0,2.0,0.0,0.0,12.0,2.0,5.0,0.0,0.0,0.0,0.0,9.8,86.6,1.3,0.7,35.6,35.6,11.9
140000010,Vinicius Moreira,32.0,Vinicius,Moreira,Mamute,Light Heavyweight,1989-02-28,76.0,206.0,76.0,9.0,5.0,0.0,0.0,2.0,10.0,12.0,2.0,0.0,0.0,0.0,7.5,91.1,4.7,3.1,0.0,0.0,0.0
140000013,Donald Cerrone,38.0,Donald,Cerrone,Cowboy,Lightweight,1983-03-29,73.0,170.0,73.0,36.0,16.0,0.0,1.0,15.0,12.0,26.0,2.0,0.0,10.0,0.0,10.6,76.2,2.8,2.8,28.6,28.6,25.7
140000014,Alexander Hernandez,28.0,Alexander,Hernandez,The Great,Lightweight,1992-10-01,69.0,155.0,72.0,12.0,4.0,0.0,0.0,12.0,5.0,5.0,0.0,0.0,0.0,0.0,8.5,62.8,3.8,0.0,19.3,19.3,19.3
140000016,Karl Roberson,30.0,Karl,Roberson,Baby K,Middleweight,1990-10-04,73.0,185.0,74.0,9.0,4.0,0.0,0.0,5.0,0.0,10.0,10.0,0.0,0.0,0.0,6.8,94.1,2.2,1.6,11.9,11.9,23.7
140000021,Yancy Medeiros,33.0,Yancy,Medeiros,The Kid,Lightweight,1987-09-07,70.0,155.0,75.5,15.0,8.0,0.0,1.0,12.0,10.0,10.0,2.0,0.0,0.0,0.0,10.4,59.7,0.8,1.5,19.3,19.3,12.9
140000022,Gregor Gillespie,34.0,Gregor,Gillespie,The Gift,Lightweight,1986-11-13,67.0,156.0,71.0,14.0,1.0,0.0,0.0,11.0,2.0,12.0,0.0,2.0,0.0,0.0,8.9,95.6,10.6,1.8,41.2,41.2,10.3
140000023,Greg Hardy,33.0,Greg,Hardy,Prince of War,Heavyweight,1988-07-28,77.0,264.0,80.5,7.0,4.0,0.0,1.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,11.5,81.0,0.5,0.0,64.3,64.3,12.9
140000024,Allen Crowder,31.0,Allen,Crowder,Pretty Boy,Heavyweight,1989-11-08,75.0,255.0,76.5,10.0,4.0,0.0,0.0,12.0,10.0,7.0,0.0,0.0,0.0,0.0,7.0,78.8,4.4,2.9,0.0,0.0,0.0
140000026,Henry Cejudo,34.0,Henry,Cejudo,The Messenger,Bantamweight,1987-02-09,64.0,135.0,64.0,16.0,2.0,0.0,0.0,12.0,2.0,0.0,0.0,10.0,2.0,0.0,9.3,71.0,5.1,0.5,34.3,34.3,51.5
140000027,Magomed Bibulatov,32.0,Magomed,Bibulatov,Chaborz,Flyweight,1988-08-22,65.0,125.0,65.5,15.0,2.0,0.0,0.0,7.0,2.0,12.0,0.0,2.0,0.0,0.0,8.6,90.3,6.8,0.0,0.0,0.0,14.9
140000031,Geraldo de Freitas,29.0,Geraldo,de Freitas,The Spartan,Bantamweight,1991-09-30,67.0,136.0,72.0,12.0,6.0,0.0,0.0,10.0,0.0,12.0,0.0,0.0,0.0,0.0,8.7,91.1,7.2,0.0,0.0,0.0,13.3
140000032,Felipe Colares,27.0,Felipe,Colares,Cabocao,Bantamweight,1994-03-31,71.0,145.0,71.0,10.0,2.0,0.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,5.1,92.3,4.8,1.8,0.0,0.0,25.7
140000033,Junior Albini,30.0,Junior,Albini,Baby,Heavyweight,1991-03-15,75.0,265.0,74.0,14.0,6.0,0.0,0.0,14.0,5.0,14.0,7.0,0.0,0.0,0.0,9.5,90.8,3.7,0.0,11.9,11.9,0.0
140000034,Jairzinho Rozenstruik,33.0,Jairzinho,Rozenstruik,Bigi Boy,Heavyweight,1988-03-17,74.0,254.0,78.0,12.0,2.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,7.5,81.2,0.0,0.0,66.2,66.2,0.0
140000035,Thiago Alves,37.0,Thiago,Alves,Pitbull,Welterweight,1983-10-03,69.0,170.0,70.0,28.0,15.0,0.0,0.0,19.0,7.0,5.0,12.0,0.0,2.0,0.0,8.9,73.4,1.7,0.7,28.4,28.4,24.4
140000036,Max Griffin,35.0,Max,Griffin,Pain,Welterweight,1985-11-29,71.0,170.0,76.0,18.0,8.0,0.0,0.0,14.0,2.0,5.0,0.0,2.0,2.0,0.0,10.4,83.5,3.9,1.0,17.8,17.8,17.8
140000039,Markus Perez,33.0,Markus,Perez,Maluko,Middleweight,1988-06-22,73.0,186.0,73.0,12.0,5.0,0.0,0.0,7.0,2.0,14.0,0.0,2.0,0.0,0.0,6.2,73.0,1.9,2.4,0.0,0.0,0.0
140000040,Anthony Hernandez,27.0,Anthony,Hernandez,Fluffy,Middleweight,1993-10-18,72.0,186.0,75.0,8.0,2.0,0.0,1.0,2.0,2.0,14.0,2.0,2.0,0.0,0.0,11.7,85.9,9.0,4.5,0.0,0.0,0.0
140000044,Justin Ledet,32.0,Justin,Ledet,El Blanco,Light Heavyweight,1988-09-28,76.0,205.0,80.0,9.0,4.0,0.0,1.0,5.0,5.0,12.0,0.0,0.0,0.0,0.0,8.0,66.0,0.5,0.5,0.0,0.0,22.1
140000045,Charles Oliveira,31.0,Charles,Oliveira,do Bronx,Lightweight,1989-10-17,70.0,155.0,74.0,31.0,8.0,0.0,1.0,14.0,10.0,29.0,7.0,2.0,0.0,0.0,7.8,95.1,6.3,6.5,11.6,11.6,11.9
140000048,Lyman Good,36.0,Lyman,Good,Cyborg,Welterweight,1985-05-26,72.0,170.0,74.0,21.0,6.0,0.0,1.0,17.0,0.0,7.0,2.0,7.0,2.0,0.0,12.7,75.3,0.6,0.0,16.5,16.5,0.0
140000049,Jose Aldo,34.0,Jose,Aldo,Junior,Bantamweight,1986-09-09,67.0,136.0,70.0,30.0,7.0,0.0,0.0,26.0,10.0,2.0,2.0,17.0,10.0,0.0,8.7,76.6,1.3,0.3,45.9,45.9,37.6
140000050,Renato Moicano,32.0,Renato,Moicano,Moicano,Featherweight,1989-05-21,71.0,155.0,72.0,15.0,4.0,1.0,0.0,0.0,7.0,12.0,2.0,0.0,0.0,0.0,12.2,77.1,4.7,1.5,0.0,0.0,23.2
140000052,Marlon Moraes,33.0,Marlon,Moraes,Magic,Bantamweight,1988-04-26,66.0,135.0,67.0,23.0,8.0,1.0,0.0,15.0,12.0,14.0,5.0,14.0,5.0,0.0,8.1,61.7,2.4,1.0,14.9,14.9,14.9
140000053,Wuliji Buren,31.0,Wuliji,Buren,Beast Master,Bantamweight,1990-03-01,69.0,135.0,69.0,10.0,6.0,0.0,0.0,2.0,5.0,12.0,2.0,0.0,0.0,0.0,3.9,66.0,8.1,0.9,0.0,0.0,0.0
140000054,Jonathan Martinez,27.0,Jonathan,Martinez,Dragon,Bantamweight,1994-04-20,68.0,136.0,70.0,13.0,4.0,0.0,0.0,11.0,2.0,5.0,0.0,0.0,0.0,0.0,10.2,74.9,1.1,0.0,18.2,18.2,18.2
140000055,Callan Potter,37.0,Callan,Potter,The Rockstar,Welterweight,1984-06-09,72.0,170.0,72.0,18.0,9.0,0.0,0.0,14.0,12.0,15.0,10.0,0.0,0.0,0.0,7.6,77.9,7.8,0.0,0.0,0.0,8.8
140000056,Jalin Turner,26.0,Jalin,Turner,The Tarantula,Lightweight,1995-05-18,75.0,163.0,77.0,10.0,5.0,0.0,0.0,12.0,7.0,5.0,0.0,0.0,0.0,0.0,14.8,72.7,1.7,4.2,20.6,20.6,0.0
140000057,Kyung Ho Kang,33.0,Kyung Ho,Kang,Mr. Perfect,Bantamweight,1987-09-09,69.0,136.0,73.0,17.0,8.0,0.0,1.0,5.0,2.0,17.0,2.0,0.0,0.0,0.0,6.0,98.4,6.0,2.5,0.0,0.0,17.8
140000058,Teruto Ishihara,30.0,Teruto,Ishihara,Yashabo,Bantamweight,1991-07-23,67.0,135.0,69.0,10.0,7.0,2.0,0.0,12.0,2.0,0.0,5.0,0.0,0.0,0.0,7.8,69.0,1.2,0.0,15.4,15.4,11.9
140000059,Kai Kara-France,28.0,Kai,Kara-France,Don't Blink,Flyweight,1993-03-26,64.0,125.0,69.0,22.0,9.0,0.0,1.0,15.0,5.0,7.0,7.0,0.0,0.0,0.0,12.0,66.8,1.3,0.0,7.5,7.5,19.3
140000061,Shane Young,28.0,Shane,Young,Smokin',Featherweight,1993-07-31,68.0,145.0,72.0,13.0,6.0,0.0,0.0,14.0,2.0,10.0,0.0,0.0,0.0,0.0,12.4,66.0,1.9,0.0,12.5,12.5,12.5
140000062,Austin Arnett,29.0,Austin,Arnett,Golden Boy,Featherweight,1991-10-22,72.0,145.0,72.0,16.0,6.0,0.0,0.0,14.0,2.0,14.0,2.0,0.0,0.0,0.0,10.8,63.4,1.0,0.5,0.0,0.0,10.8
