FighterId,FirstName,LastName,Nickname,WeightClass,BirthDate,Height,Weight,Reach,Wins,Losses,Draws,NoContests,TechnicalKnockouts,TechnicalKnockoutLosses,Submissions,SubmissionLosses,TitleWins,TitleLosses,TitleDraws,CareerStats.FighterId,CareerStats.FirstName,CareerStats.LastName,CareerStats.SigStrikesLandedPerMinute,CareerStats.SigStrikeAccuracy,CareerStats.TakedownAverage,CareerStats.SubmissionAverage,CareerStats.KnockoutPercentage,CareerStats.TechnicalKnockoutPercentage,CareerStats.DecisionPercentage
140000001,Chance,Rencountre,Black Eagle,Welterweight,1986-12-31T00:00:00,74.0,170.0,75.0,14.0,4.0,0.0,0.0,14.0,2.0,7.0,0.0,0.0,0.0,0.0,140000001.0,Chance,Rencountre,2.6,31.7,3.2,0.8,0.0,0.0,13.3
140000002,Kyle,Stewart,Gunz Up,Welterweight,1989-01-31T00:00:00,72.0,170.0,76.5,13.0,3.0,0.0,0.0,14.0,0.0,7.0,2.0,0.0,2.0,0.0,140000002.0,Kyle,Stewart,3.4,54.3,3.1,0.0,0.0,0.0,0.0
140000003,Geoff,Neal,Handz of Steel,Welterweight,1990-08-28T00:00:00,71.0,171.0,75.0,13.0,4.0,0.0,0.0,12.0,2.0,5.0,2.0,0.0,0.0,0.0,140000003.0,Geoff,Neal,10.5,80.4,1.4,0.5,36.3,36.3,14.0
140000004,Belal,Muhammad,Remember the Name,Welterweight,1988-07-09T00:00:00,71.0,170.0,72.0,19.0,3.0,0.0,1.0,10.0,2.0,2.0,0.0,2.0,0.0,0.0,140000004.0,Belal,Muhammad,11.0,77.4,4.3,0.4,10.4,10.4,53.7
140000005,Dennis,Bermudez,The Menace,Featherweight,1986-12-13T00:00:00,66.0,155.0,66.0,17.0,9.0,0.0,0.0,10.0,5.0,7.0,10.0,0.0,0.0,0.0,140000005.0,Dennis,Bermudez,10.6,70.8,9.1,2.4,8.8,8.8,40.0
140000006,Te,Edwards,Tango,Lightweight,1990-09-11T00:00:00,68.0,155.0,72.0,6.0,3.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,140000006.0,Te,Edwards,3.6,64.7,1.7,0.0,0.0,0.0,0.0
140000009,Alonzo,Menifield,Atomic,Light Heavyweight,1987-10-18T00:00:00,72.0,204.0,76.0,11.0,2.0,0.0,0.0,12.0,2.0,5.0,0.0,0.0,0.0,0.0,140000009.0,Alonzo,Menifield,9.8,86.6,1.3,0.7,35.6,35.6,11.9
140000010,Vinicius,Moreira,Mamute,Light Heavyweight,1989-02-28T00:00:00,76.0,206.0,76.0,9.0,5.0,0.0,0.0,2.0,10.0,12.0,2.0,0.0,0.0,0.0,140000010.0,Vinicius,Moreira,7.5,91.1,4.7,3.1,0.0,0.0,0.0
140000013,Donald,Cerrone,Cowboy,Lightweight,1983-03-29T00:00:00,73.0,170.0,73.0,36.0,16.0,0.0,1.0,15.0,12.0,26.0,2.0,0.0,10.0,0.0,140000013.0,Donald,Cerrone,10.6,76.2,2.8,2.8,28.6,28.6,25.7
140000014,Alexander,Hernandez,The Great,Lightweight,1992-10-01T00:00:00,69.0,155.0,72.0,12.0,4.0,0.0,0.0,12.0,5.0,5.0,0.0,0.0,0.0,0.0,140000014.0,Alexander,Hernandez,8.5,62.8,3.8,0.0,19.3,19.3,19.3
