R_fighter,R_Stance,weight_class,R_avg_KD,R_avg_opp_KD,R_avg_SIG_STR_pct,R_avg_opp_SIG_STR_pct,R_avg_TD_pct,R_avg_opp_TD_pct,R_avg_SUB_ATT,R_avg_opp_SUB_ATT,R_avg_REV,R_avg_opp_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_avg_TD_att,R_avg_TD_landed,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_BODY_att,R_avg_BODY_landed,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_LEG_att,R_avg_LEG_landed,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,R_index_ape2,count_weight_class
Aaron Phillips,Southpaw,Bantamweight,0.0,0.0,0.45,0.54,0.0,0.62,1.0,1.0,1.0,1.0,40.0,18.0,68.0,37.0,137.0,109.0,129.0,95.0,0.0,0.0,8.0,5.0,23.0,5.0,53.0,28.0,14.0,12.0,13.0,8.0,3.0,1.0,2.0,1.0,26.0,9.0,31.0,12.0,6.0,3.0,6.0,4.0,8.0,6.0,31.0,21.0,68.0,609.0,900.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.26,180.34,135.0,25.0,5.08,1
Aaron Riley,Southpaw,Lightweight,0.0,0.3880208333333333,0.377734375,0.38794270833333333,0.2331770833333333,0.22200520833333334,0.2109375,0.0,0.0,0.0,75.94010416666667,30.21875,94.9375,37.1484375,98.9375,51.854166666666664,105.61979166666667,47.622395833333336,2.4192708333333335,0.8020833333333334,2.3125,1.4375,52.619791666666664,12.546875,78.6875,25.6796875,11.174479166666666,8.927083333333334,11.497395833333334,9.2109375,12.145833333333334,8.744791666666666,4.752604166666667,2.2578125,56.619791666666664,18.317708333333332,72.83333333333333,25.177083333333332,17.442708333333332,10.5234375,17.421875,9.541666666666666,1.8776041666666667,1.3776041666666667,4.682291666666667,2.4296875,86.32552083333333,64.1796875,508.4375,9.666666666666666,0.0,0.0,2.0,0.6666666666666666,1.3333333333333333,3.3333333333333335,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,172.72,175.26,155.0,29.0,2.54,3
Aaron Simpson,Orthodox,Middleweight,0.659375,0.0,0.554765625,0.34609375,0.56759375,0.056374999999999995,0.41875,0.11875,0.0,0.0375,65.0109375,34.0484375,46.11875,16.5625,96.98125,62.128125,60.04375,29.675,6.875,2.3125,1.25625,0.246875,46.0171875,18.71875,39.3734375,11.440625,9.609375,6.7546875,3.3640625,2.478125,9.384375,8.575,3.38125,2.64375,32.4359375,11.8515625,32.7859375,8.28125,18.3828125,13.8765625,12.48125,7.5265625,14.1921875,8.3203125,0.8515625,0.7546875,254.59375,35.059375,519.9109375,9.8,0.0,2.4,0.0,2.4,3.4,1.0,0.0,0.0,0.6,1.0,1.8,0.0,0.0,182.88,185.42,170.0,36.0,2.54,5
Aaron Simpson,Orthodox,Welterweight,0.755859375,0.0,0.608134766,0.505996094,0.155683594,0.153984375,0.19921875,0.01171875,0.0,0.0234375,89.49121094,52.13964844,77.38671875,37.6015625,127.67578125,84.736328125,94.08984375,52.921875,8.421875,2.3203125,4.34765625,0.873046875,62.68261719,30.01171875,55.34277344,17.681640625,15.474609375,11.26855469,7.3681640625,5.830078125,11.333984375,10.859375,14.67578125,14.08984375,48.25683594,20.172851565000002,55.60058594,19.86328125,22.067382815000002,17.188476565000002,16.23828125,12.594726565,19.166992190000002,14.778320315,5.5478515625,5.1435546875,324.30859375,154.38085940000002,891.9287109500001,24.5,0.0,3.0,0.0,3.0,6.5,3.0,0.0,0.0,1.0,3.5,2.0,0.0,0.0,182.88,185.42,170.0,37.5,2.54,2
Abdul Razak Alhassan,Orthodox,Welterweight,1.5520833333333333,0.0,0.5001041666666667,0.3305208333333333,0.07604166666666667,0.30520833333333336,0.0,0.0,0.052083333333333336,0.0,50.78125,24.802083333333332,55.15625,25.875,54.25,27.541666666666668,61.916666666666664,31.40625,0.9791666666666666,0.2708333333333333,1.84375,1.1875,44.25,20.21875,41.1875,14.645833333333334,1.9270833333333333,1.6145833333333333,9.510416666666666,6.9375,4.604166666666667,2.96875,4.458333333333333,4.291666666666667,43.239583333333336,20.125,45.177083333333336,18.197916666666668,6.0,3.5208333333333335,7.3125,5.53125,1.5416666666666667,1.15625,2.6666666666666665,2.1458333333333335,32.770833333333336,80.85416666666667,295.3645833333333,5.666666666666667,0.0,1.0,0.0,2.0,2.6666666666666665,1.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,177.80000000000004,185.42,170.0,33.0,7.62,3
Abel Trujillo,Orthodox,Lightweight,0.24609375,0.0,0.32286458333333334,0.4498307293333333,0.5893229166666667,0.6025651043333333,0.2630208333333333,1.25,0.0,0.0,59.483072916666664,24.880208333333332,47.015625,18.8359375,70.734375,35.502604166666664,59.227864583333336,29.430989583333332,1.859375,1.1979166666666667,6.227864583333333,3.72265625,51.959635416666664,18.341145833333332,40.087239583333336,14.264322916666666,5.91796875,4.93359375,3.6549479166666665,2.421875,1.60546875,1.60546875,3.2734375,2.1497395833333335,43.14453125,13.31640625,38.694010416666664,13.55859375,8.506510416666666,5.5859375,4.252604166666667,2.2109375,7.83203125,5.977864583333333,4.069010416666667,3.06640625,101.52083333333333,182.4570312666667,516.7213541666666,13.0,0.0,1.0,0.0,2.0,3.6666666666666665,2.6666666666666665,0.0,0.0,0.0,0.3333333333333333,2.3333333333333335,0.3333333333333333,0.0,172.72,177.80000000000004,155.0,31.666666666666668,5.08,3
Adam Milstead,Orthodox,Heavyweight,0.0,0.0,0.5,0.39,0.0,0.0,0.0,0.0,0.0,0.0,116.0,58.0,98.0,39.0,119.0,61.0,102.0,43.0,0.0,0.0,7.0,0.0,107.0,52.0,82.0,25.0,8.0,5.0,11.0,9.0,1.0,1.0,5.0,5.0,100.0,47.0,91.0,33.0,14.0,9.0,7.0,6.0,2.0,2.0,0.0,0.0,20.0,178.0,541.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,190.5,193.04,205.0,29.0,2.54,1
Adam Milstead,Orthodox,LightHeavyweight,0.0,0.0,0.59,0.56,0.0,0.29,0.0,0.0,0.0,0.0,95.75,43.75,85.75,45.5,103.5,51.0,169.0,116.75,0.0,0.0,9.75,3.0,87.5,36.75,69.0,30.75,5.5,4.25,7.5,6.0,2.75,2.75,9.25,8.75,81.75,34.0,74.5,37.0,13.0,8.75,4.5,2.75,1.0,1.0,6.75,5.75,5.0,337.25,675.0,7.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,190.5,193.04,205.0,31.0,2.54,1
Adam Wieczorek,Orthodox,Heavyweight,0.0,0.0,0.46,0.53,0.0,0.44,0.5,0.0,0.0,0.0,61.0,27.5,37.5,20.5,78.5,43.5,67.5,43.0,0.5,0.0,6.0,2.0,44.0,12.5,23.0,7.5,11.0,9.5,11.0,10.5,6.0,5.5,3.5,2.5,49.5,18.0,23.5,8.0,6.0,6.0,3.5,3.5,5.5,3.5,10.5,9.0,65.5,368.5,659.5,5.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,195.58,205.74,250.0,26.0,10.16,1
Adrian Yanez,Orthodox,Bantamweight,1.0,0.0,0.5,0.46,0.0,0.0,0.0,0.0,0.0,0.0,34.0,17.0,13.0,6.0,35.0,18.0,16.0,9.0,0.0,0.0,3.0,0.0,32.0,15.0,11.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,33.0,16.0,12.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,54.0,166.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,170.18,177.8,135.0,27.0,7.62,1
